,Description,Fixing_time,Severity,Priority
0,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Tuesday, April 7, 1998 10:57:25 AM PDT
Additional Details :
Pressing Alt-w seems to have no effect in the Page Source
window.
Updated by Steve Lamm (slamm@netscape.com) on Thursday, April 30, 1998 10:26:04 AM PDT
Additional Details :
I have this on my internal buglist too, so I will take it.",5797,minor,P2
1,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Tuesday, April 7, 1998 11:43:26 AM PDT
Additional Details :
The nested table here is laid out wrong:

http://www.cs.cmu.edu/People/dkindred/bugs/table-layout.html

A table cell extends outside its containing cell.
Possible contributing factor: WIDTH=300 on outer table,
WIDTH=100% on TD within it.

[Linux, Motif 1.2, Helvetica fonts]
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Wednesday, April 22, 1998 9:41:35 PM PDT
Additional Details :
Thanks Darrell, for providing a great test case.  Hopefully, we'll have a public
CVS repository soon and you can update to get this fix.",993,normal,P1
2,"Created by   (msuencks@marcant.de) on Tuesday, April 7, 1998 12:54:41 PM PDT
Additional Details :
The following HTML Code is not properley drawn:

<body bgcolor=white>
<table bgcolor=blue>
<tr><td>
<table bgcolor=yellow>
<tr><td>hello
</table>
</table>
</body>
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Wednesday, April 22, 1998 9:55:02 PM PDT
Additional Details :
This bug is fixed.  Hopefully we'll have a public CVS repository soon and you
can update your tree to get the fix.  Thanks for the bug report and the great
test case.",992,normal,P2
3,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Tuesday, April 7, 1998 1:40:36 PM PDT
Additional Details :
In the following document, I can''t make an X selection
by dragging button1.  If I remove the PRE section,
it works.

http://www.cs.cmu.edu/People/dkindred/bugs/x-select.html

[Linux, Motif 1.2.4]
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Wednesday, April 22, 1998 10:01:07 PM PDT
Additional Details :
Am assigning this to myself for further investigation...",250,major,P2
4,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Tuesday, April 7, 1998 2:24:59 PM PDT
Additional Details :
If an OnMouseOver handler on an anchor sets window.status,
the URL appears first for an instant, and is then
overwritten by the message the handler installs.  You can
see this at
   http://www.cs.cmu.edu/People/dkindred/bugs/mouseover.html

This happens in 4.05 also, but not in 3.04.",272,trivial,P3
5,"Created by Sarah Wilson (swilson@netscape.com) on Tuesday, April 7, 1998 6:24:44 PM PDT
Additional Details :
just a test for QA purposes.
Updated by Sarah Wilson (swilson@netscape.com) on Tuesday, April 7, 1998 6:28:12 PM PDT
Additional Details :
more testing....blah blah
Updated by Sarah Wilson (swilson@netscape.com) on Tuesday, April 7, 1998 6:51:53 PM PDT
Updated by Arun Ramachandran (arunr@netscape.com) on Tuesday, April 7, 1998 6:58:16 PM PDT
Updated by Arun Ramachandran (arunr@netscape.com) on Tuesday, April 7, 1998 6:59:09 PM PDT
Updated by Arun Ramachandran (arunr@netscape.com) on Tuesday, April 7, 1998 7:00:08 PM PDT
Additional Details :
test
Updated by Arun Ramachandran (arunr@netscape.com) on Sunday, May 17, 1998 4:50:18 PM PDT
Additional Details :",141,trivial,P3
6,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Tuesday, April 7, 1998 10:58:46 PM PDT
Additional Details :
The ""Copy link location"" option in the pop-up
menu that appears when you press button3 on a
link seems to have no effect.  (The X selection
is unchanged.)  This works fine in 4.05.
Updated by Steve Lamm (slamm@netscape.com) on Thursday, April 30, 1998 10:33:46 AM PDT
Additional Details :
My current version doesn't even give the ""Copy link location"" option when
clicking on a link.  I will look into this.
Note that the X selection should remain unchanged.  The ""Copy link locaiton""
command should copy the link into the copy buffer.  Try pasting with Edit->Paste
(Alt+V).",154,normal,P2
7,"Created by Brian Grunkemeyer (bg2k@cmu.edu) on Tuesday, April 7, 1998 11:55:18 PM PDT
Additional Details :
The quote tag, <q>..</q> isn
Updated by Brian Grunkemeyer (bg2k@cmu.edu) on Wednesday, April 8, 1998 9:15:13 PM PDT
Additional Details :
This was the inline quote tag, Q.  Didn''t realize it would
munge the HTML so poorly.  And look at the actual URL for the
HTML spec, don''t read what I have quoted since the tags
won''t show up right.
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:24:39 PM PDT
Additional Details :
<Q> is a new tag in HTML 4.0 for marking inline quotations (<BLOCKQUOTE> marks
block level quotations), support for which has not been added to Mozilla yet.
It should be pretty simple to add, however.

Brian, thanks a lots for reporting this bug.  Do you want to take a crack at
fixing it?  If so, I'll email you details of how to start and assign the bug to
you.
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:25:00 PM PDT
Additional Details :
<Q> is a new tag in HTML 4.0 for marking inline quotations (<BLOCKQUOTE> marks
block level quotations), support for which has not been added to Mozilla yet.
It should be pretty simple to add, however.

Brian, thanks a lots for reporting this bug.  Do you want to take a crack at
fixing it?  If so, I'll email you details of how to start and assign the bug to
you.
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:25:24 PM PDT
Additional Details :
<Q> is a new tag in HTML 4.0 for marking inline quotations (<BLOCKQUOTE> marks
block level quotations), support for which has not been added to Mozilla yet.
It should be pretty simple to add, however.

Brian, thanks a lots for reporting this bug.  Do you want to take a crack at
fixing it?  If so, I'll email you details of how to start and assign the bug to
you.
Updated by Brian Grunkemeyer (bg2k@cmu.edu) on Thursday, April 30, 1998 11:41:20 PM PDT
Additional Details :
I think I now have the free time to work on this.  But would I be better off
fixing this in the current HTML renderer, or in Raptor?",250,minor,P2
8,"Created by Thorsten Heit (thorsten@wurzelausix.cs.uni-sb.de) on Wednesday, April 8, 1998 3:37:25 AM PDT
Additional Details :
Minimizing the toolbar that contains the back, forward,
reload ... buttons (and an animated picture on its right
side) results in having the animated picture on one of
the two other toolbars, perhaps a little bit smaller to
have the correct size. Restoring the first toolbar, and
I get the original animated logo on its correct position.

I cannot minimize all of the three toolbars; I always have
one at the top of my Navigator window visible.


My system:
RedHat Linux 5.0 running on an AMD K6/233 with 128 MB
RAM, 4 MB graphics card, 2 GB SCSI hard drive",167,normal,P3
9,"Created by Thorsten Heit (thorsten@wurzelausix.cs.uni-sb.de) on Wednesday, April 8, 1998 5:02:34 AM PDT
Additional Details :
The patches in ns/nsprpub/pr/include/md/_linux.* are
taken from the SunOS4 files and seem to work:

--- ns/nsprpub/pr/include/md/_linux.h.orig	Tue Mar 31
04:05:25 1998
+++ ns/nsprpub/pr/include/md/_linux.h		Wed Apr  8
13:41:18 1998
@@ -29,6 +29,8 @@
 #define _PR_SI_ARCHITECTURE ""ppc""
 #elif defined(__alpha)
 #define _PR_SI_ARCHITECTURE ""alpha""
+#elif defined(__sparc__)
+#define _PR_SI_ARCHITECTURE ""sparc""
 #else
 #define _PR_SI_ARCHITECTURE ""x86""
 #endif
@@ -92,6 +94,12 @@

 /* XXX not sure if this is correct, or maybe it should be
17? */
 #define PR_NUM_GCREGS 9
+
+
+#elif defined(__sparc__)
+/* Sparc based Linux */
+#define	_MD_GET_SP(_t)
(_t)->md.context[0].__jmpbuf[0].__fp
+#define	PR_NUM_GCREGS	_JBLEN

 #else
 /* Intel based Linux */
--- ns/nsprpub/pr/include/md/_linux.cfg.orig	Tue Mar 31
04:05:25 1998
+++ ns/nsprpub/pr/include/md/_linux.cfg		Tue Apr  7
15:04:35 1998
@@ -116,6 +116,55 @@
 #define PR_BYTES_PER_WORD_LOG2  3
 #define PR_BYTES_PER_DWORD_LOG2 3

+#elif defined(__sparc__)
+
+#undef  IS_LITTLE_ENDIAN
+#define IS_BIG_ENDIAN 1
+#undef  HAVE_LONG_LONG
+#define	HAVE_ALIGNED_DOUBLES
+#undef	HAVE_ALIGNED_LONGLONGS
+
+#define PR_BYTES_PER_BYTE   1
+#define PR_BYTES_PER_SHORT  2
+#define PR_BYTES_PER_INT    4
+#define PR_BYTES_PER_INT64  8
+#define PR_BYTES_PER_LONG   4
+#define PR_BYTES_PER_FLOAT  4
+#define PR_BYTES_PER_DOUBLE 8
+#define PR_BYTES_PER_WORD   4
+#define PR_BYTES_PER_DWORD  8
+#define PR_BYTES_PER_WORD_LOG2   2
+#define PR_BYTES_PER_DWORD_LOG2  3
+
+#define PR_BITS_PER_BYTE    8
+#define PR_BITS_PER_SHORT   16
+#define PR_BITS_PER_INT     32
+#define PR_BITS_PER_INT64   64
+#define PR_BITS_PER_LONG    32
+#define PR_BITS_PER_FLOAT   32
+#define PR_BITS_PER_DOUBLE  64
+#define PR_BITS_PER_WORD    32
+
+#define PR_BITS_PER_BYTE_LOG2   3
+#define PR_BITS_PER_SHORT_LOG2  4
+#define PR_BITS_PER_INT_LOG2    5
+#define PR_BITS_PER_INT64_LOG2  6
+#define PR_BITS_PER_LONG_LOG2   5
+#define PR_BITS_PER_FLOAT_LOG2  5
+#define PR_BITS_PER_DOUBLE_LOG2 6
+#define PR_BITS_PER_WORD_LOG2   5
+
+#define PR_ALIGN_OF_SHORT   2
+#define PR_ALIGN_OF_INT     4
+#define PR_ALIGN_OF_LONG    4
+#define PR_ALIGN_OF_INT64   8
+#define PR_ALIGN_OF_FLOAT   4
+#define PR_ALIGN_OF_DOUBLE  8
+#define PR_ALIGN_OF_POINTER 4
+
+#define BYTES_PER_WORD_LOG2	PR_BYTES_PER_WORD_LOG2
+#define BYTES_PER_DWORD_LOG2	PR_BYTES_PER_DWORD_LOG2
+
 #else

 #define IS_LITTLE_ENDIAN 1





The ns/config/config.guess file file should be changed
because all Linux supported platforms are working the
same way:

--- ns/config/config.guess.orig Wed Apr  8 13:51:27 1998
+++ ns/config/config.guess      Wed Apr  8 13:53:26 1998
@@ -196,13 +196,7 @@
     i[3456]86:NetBSD:*:*)
        echo ${UNAME_MACHINE}-unknown-netbsd${UNAME_RELEASE}
        exit 0 ;;
-    alpha:Linux:*:*)
-       echo ${UNAME_MACHINE}-unknown-linux
-       exit 0 ;;
-    i[3456]86:Linux:*:*)
-       echo ${UNAME_MACHINE}-unknown-linux
-       exit 0 ;;
-    ppc:Linux:*:*)
+    *:Linux:*:*)
        echo ${UNAME_MACHINE}-unknown-linux
        exit 0 ;;
     i[3456]86:UNIX_SV:4.*:* | i[3456]86:SYSTEM_V:4.*:*)
Updated by Wan-Teh Chang (wtc@netscape.com) on Friday, April 24, 1998 12:05:36 PM PDT
Additional Details :
Added bug to myself.  I will merge the patches to ns/nsprpub.
I will email Brian Ostrom <briano@netscape.com> about the patch to
ns/config/config.guess.
Updated by Wan-Teh Chang (wtc@netscape.com) on Tuesday, June 16, 1998 8:21:46 PM PDT
Additional Details :
I believed that Mozilla builds and runs on
Sparc Linux now.  I ported nsprpub, and
Chris McAfee ported the rest of Mozilla.

Marked the bug resolved.
Updated by Wan-Teh Chang (wtc@netscape.com) on Tuesday, June 16, 1998 8:26:25 PM PDT
Additional Details :
Closed the bug.",1744,critical,P3
